commit	avg_return	memory_gb	status	description
a4c0ea1	-172.897450	0.0	keep	baseline
8d545c2	-5.681225	0.0	keep	wider net (128) + separate actor/critic + 16 envs + lr 3e-4
586ad25	86.018277	0.0	keep	longer rollouts (256 steps) + 8 minibatches
a676e0f	115.787464	0.0	keep	hidden size 256
7aa8a5f	194.108718	0.0	keep	update epochs 10
ceb6087	162.721140	0.0	discard	obs normalization (Welford) - hurt performance
4050b87	229.206778	0.0	keep	3 hidden layers
173ac5c	262.779382	0.0	keep	lr 5e-4
957416e	271.163013	0.0	keep	entropy coeff 0.005
93b5e86	259.889103	0.0	discard	32 envs + 16 minibatches - slight regression
3bc5590	247.290355	0.0	discard	clip eps 0.1 - worse
8bea235	277.080854	0.0	keep	gamma 0.999
6f5b69f	278.328808	0.0	keep	GAE lambda 0.98
5da2b72	276.174825	0.0	discard	ReLU activation - slight regression
16acb68	277.045897	0.0	discard	cosine LR annealing - slight regression
6d210d2	289.603661	0.0	keep	LayerNorm after each hidden layer
8b359b4	290.493682	0.0	keep	LeakyReLU activation with LayerNorm
c38c568	290.723861	0.0	discard	hidden size 384 - marginal gain not worth extra params
af1be48	287.568381	0.0	discard	512 steps + 16 minibatches - regression
1ae1843	291.219397	0.0	keep	VF_COEF 1.0
47a54e4	288.665054	0.0	discard	LR 7e-4 - too high
6820d01	290.317412	0.0	discard	entropy coeff 0.01 - slight regression
b8b06fc	290.311279	0.0	discard	MAX_GRAD_NORM 1.0 - slight regression
93643c6	288.233684	0.0	discard	reward scaling 0.1 - worse
38c7fb0	291.354547	0.0	keep	GELU activation
e342d35	289.669009	0.0	discard	residual skip connections - regression + complexity
74ba53c	289.984626	0.0	discard	UPDATE_EPOCHS 15 - slight regression
9f14f37	291.161540	0.0	discard	entropy coeff 0.002 - no improvement
875aa22	289.185645	0.0	discard	LR warmup 10% - slower convergence
569536d	289.601769	0.0	discard	4 hidden layers - worse + more params
72ba74a	291.199838	0.0	discard	4 minibatches (1024 each) - no improvement
06f0c7a	289.418388	0.0	discard	per-batch advantage normalization - worse
25e4b8c	290.895338	0.0	discard	gamma 0.995 - slight regression
370766b	290.848970	0.0	discard	KL early stopping 0.015 - slight regression
d9ac730	288.516329	0.0	discard	entropy schedule 0.01->0.001 - worse
bf6deaa	288.957210	0.0	discard	AdamW weight decay 1e-4 - worse
b148c2f	290.261589	0.0	discard	torch.compile - compilation overhead outweighs gains
c1687ef	290.086388	0.0	discard	ELU activation - worse than GELU
0c2e828	284.138409	0.0	discard	Huber loss for VF - much worse
fdcca79	151.415299	0.0	discard	shared backbone - much worse
df22d80	284.907747	0.0	discard	constant LR (no annealing) - worse
0821b0e	290.492525	0.0	discard	2 layers x 384 width - slight regression
df3672b	290.864385	0.0	discard	LR 1e-3 - slight regression
b84351f	288.946459	0.0	discard	8 envs + 4 minibatches - worse + fewer timesteps
b875410	287.694056	0.0	discard	VF clipping - worse
d3526b9	284.307886	0.0	discard	fp16 mixed precision - precision loss hurts RL
01c67f8	290.093931	0.0	discard	VF_COEF 2.0 - slight regression
1c6f232	289.067512	0.0	discard	24 envs + 12 minibatches - worse
a469ad4	290.501470	0.0	discard	Xavier uniform init - worse than orthogonal
379b768	289.132600	0.0	discard	obs scaling /5 - worse
2c798dc	290.849708	0.0	discard	128 steps + 4 minibatches - slight regression
71309db	288.611496	0.0	discard	policy head init gain 0.1 - worse
067bb40	291.266544	0.0	discard	LR 6e-4 - within noise of 5e-4
afc5efc	290.407165	0.0	discard	clip eps 0.25 - worse
a19128b	291.025981	0.0	discard	separate critic LR 3x - no improvement + complexity
d36cc86	289.557703	0.0	discard	Adam eps 1e-8 - worse than 1e-5
5a9e0dc	280.812273	0.0	discard	GAE lambda 0.99 - too much variance
4d3fa3f	290.787031	0.0	discard	always train mode - no improvement
8cbccb2	288.410273	0.0	discard	best checkpoint selection - worse (overfits to training)
0c27cfc	291.508947	0.0	keep	EMA model weights for evaluation (decay 0.999)
987d858	290.557067	0.0	discard	EMA decay 0.995 - worse than 0.999
4f5e112	286.847849	0.0	discard	EMA decay 0.9999 - too slow
43ec148	286.289287	0.0	discard	LR 6e-4 + EMA - worse
8a02e50	290.680407	0.0	discard	SiLU activation - worse than GELU
ba5462b	288.825458	0.0	discard	Adam beta1 0.8 - worse
9b4f64e	288.825458	0.0	discard	UPDATE_EPOCHS 7 - worse
6acbcf0	282.896426	0.0	discard	RAdam optimizer - worse
cae9d0a	285.892683	0.0	discard	polynomial obs features (squared) - worse
ffa8d69	284.911459	0.0	discard	asymmetric critic 384 / actor 256 - worse
2d60e93	288.247059	0.0	discard	EMA for value bootstrapping in GAE - worse
724a089	289.965902	0.0	discard	observation clipping [-5, 5] - slight regression
095ca51	81.398104	0.0	discard	reward clipping [-10, 10] - much worse
46ccf09	290.930417	0.0	discard	Adam beta2=0.99 - within noise
c2b2e66	287.325362	0.0	discard	symlog value loss - worse
75cca35	290.340919	0.0	discard	asymmetric depth 2L actor / 3L critic - slight regression
ffbdb03	164.351781	0.0	discard	dropout 0.1 - much worse
61d12c3	289.400450	0.0	discard	multi-layer value head 256->128->1 - worse
c7ef44f	290.421150	0.0	discard	reward shaping: angle penalty 0.05 - no improvement
14ea54d	286.615476	0.0	discard	observation noise 0.01 during PPO updates - worse
779f0f2	288.209292	0.0	discard	LR 4e-4 - worse
35e89b5	287.609093	0.0	discard	entropy step schedule 0.02->0.005 at 30% - worse
2fe5561	288.994222	0.0	discard	KL distillation from EMA (0.1) - slower + worse
e5dff3d	-344.556890	0.0	discard	dual clip PPO c=3 - buggy implementation
f0ae93b	288.736763	0.0	discard	dual clip PPO c=3 (fixed) - no improvement
3c34544	285.974694	0.0	discard	polynomial LR decay power=2 - worse
db77d8f	287.883794	0.0	discard	critic-only weight decay 1e-4 - worse
251e2a3	288.963793	0.0	discard	Mish activation - worse than GELU
8c5cbe4	288.994222	0.0	discard	PPG-style extra value training 3 epochs - fewer updates
960a160	-325.813330	0.0	discard	default PyTorch init - catastrophic failure
93e18f3	288.736763	0.0	discard	20 envs + 10 minibatches - fewer updates, worse
986cf33	285.974694	0.0	discard	post-activation LayerNorm - worse
f82d038	287.883794	0.0	discard	polynomial LR decay (1-p^2) - worse
251e2a3	288.963793	0.0	discard	Mish activation - worse than GELU
7383bb0	271.016203	0.0	discard	advantage clipping [-5, 5] - much worse
